travel_id,name,season,nature,vibe,target,fee,parking,address,open_time,latitude,longitude,full_address,short_description,row_number,matched_cloud_name,image_count,image_urls,match_score,match_method,reason
1,광치자연휴양림,사계절,"산, 바다, 계곡, 숲, 절, 도시","산책, 액티비티, 힐링, 물놀이",가족,"3,000원",가능,강원특별자치도 양구군 국토정중앙면 광치령로1794번길 265,"- 일일개장 09:00~18:00<br>
- 숙박시설 14:00~익일11:00",38.14130477,128.0711129,강원특별자치도 양구군 국토정중앙면 광치령로1794번길 265,"광치자연휴양림은 해발 800m 광치계곡을 따라 조성된 숲 속 휴양지로, 다양한 폭포와 계곡, 울창한 원시림이 어우러져 사계절 아름다운 경관을 자랑한다. 양구와 인제, 원통을 연결하는 광치터널 인근에 위치해 동해안을 찾는 주요 이동 경로에 있으며, 양구군은 수도권 관광객 유치와 지역 주민의 여가 공간 제공, 지역 경제 활성화를 위해 이 휴양림을 개장하였다. ",1,광치자연휴양림,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760794454/%EA%B4%91%EC%B9%98%EC%9E%90%EC%97%B0%ED%9C%B4%EC%96%91%EB%A6%BC_3_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_kiwyqv.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760794450/%EA%B4%91%EC%B9%98%EC%9E%90%EC%97%B0%ED%9C%B4%EC%96%91%EB%A6%BC_2_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_k6ks09.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760794449/%EA%B4%91%EC%B9%98%EC%9E%90%EC%97%B0%ED%9C%B4%EC%96%91%EB%A6%BC_1_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_vo3r02.jpg",1,exact,
2,육향산,사계절,"산, 바다, 섬, 공원","산책, 경치, 물놀이",연인,정보없음,가능,강원특별자치도 삼척시 정상동,상시 개방,37.43579965,129.184995,강원특별자치도 삼척시 정상동,"삼척시의 동쪽인 정상동에 위치하고 있으며 옛날에는 섬이어서 죽관도라 했고 지금은 육향대라고도 한다. 조선시대 동해안의 9개군과 울릉도, 독도까지 총괄했던 삼척포진성이 있었으며, 조선시대 학자이며 정치가인 허목의 치적을 기린 평수토찬비가 있었다. 현재는 산 정상에 척주동해비와 평수토찬비과 육향정이 있다. 이 비들은 조선 현종 2년(1661)에 삼척부사 허목이",2,육향산,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760800319/%EC%9C%A1%ED%96%A5%EC%82%B0_3_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_hy5nie.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760800316/%EC%9C%A1%ED%96%A5%EC%82%B0_2_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_gzkhnl.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760800312/%EC%9C%A1%ED%96%A5%EC%82%B0_1_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_fbpa6m.jpg",1,exact,
3,담터계곡,"여름, 사계절","산, 계곡, 절","액티비티, 물놀이",가족,정보없음,가능,강원특별자치도 철원군 동송읍 상노리857-5,상시 개방,38.15595621,127.1990172,강원특별자치도 철원군 동송읍 상노리857-5,"철원 담터계곡은 강원도 철원군 동송읍 상노리에 위치한 계곡으로 한탄강 지류인 담터천이 흘러가는 계곡이다. 담터는 산짐승을 사냥해서 잡아먹고 나서 버린 뼈가 담을 쌓을 정도라 하여 그런 이름이 붙었다. 계곡의 길이는 약 7㎞이며 초입부터 절경을 이루는데, 용정산 남쪽 기슭에 자리한 먹바위와 신포동을 지나서 만나는 수직 절벽 불상암은 담터계곡의 절경이라 할 만",3,담터계곡,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760795314/%EB%8B%B4%ED%84%B0%EA%B3%84%EA%B3%A1_3_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_bpzbeo.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760795301/%EB%8B%B4%ED%84%B0%EA%B3%84%EA%B3%A1_2_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_zzasyd.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760795300/%EB%8B%B4%ED%84%B0%EA%B3%84%EA%B3%A1_1_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_lahkkv.jpg",1,exact,
4,팔랑폭포,"여름, 사계절","산, 계곡, 섬, 마을",힐링,연인,무료,가능,강원특별자치도 양구군 동면 팔랑리,상시 개방,38.21445709,128.057323,강원특별자치도 양구군 동면 팔랑리,"팔랑초등학교 인근 앞산 기슭 깊숙이 자리한 팔랑폭포는 높지는 않지만 수량이 풍부해 시원한 물줄기를 자랑한다. 폭포 옆 암벽에는 300년 이상 된 소나무 한 그루가 우뚝 서 있어 폭포의 경관을 더욱 돋보이게 하며, 이곳을 찾은 문인과 나그네들이 시 한 수를 읊으며 쉬어갔던 곳으로 전해진다. 이 소나무는 높이 18m, 밑동 둘레 3.2m에 이르는 웅장한 자태를",4,팔랑폭포,2,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760802820/%ED%8C%94%EB%9E%91%ED%8F%AD%ED%8F%AC_2_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_di6nlb.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760802816/%ED%8C%94%EB%9E%91%ED%8F%AD%ED%8F%AC_1_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_arqfew.jpg",1,exact,
5,하조대전망대,"여름, 겨울, 사계절","바다, 전망대","경치, 물놀이",연인,정보없음,정보없음,강원특별자치도 양양군 현북면 하륜길 54,상시이용,38.02199242,128.7285402,강원특별자치도 양양군 현북면 하륜길 54,하조대해수욕장 우측에 위치한 양양의 바다가 한눈에 내려다보이는 전망대입니다.,5,하조대전망대,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760803188/%ED%95%98%EC%A1%B0%EB%8C%80%EC%A0%84%EB%A7%9D%EB%8C%80_3_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_afbopy.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760803184/%ED%95%98%EC%A1%B0%EB%8C%80%EC%A0%84%EB%A7%9D%EB%8C%80_2_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_ofnhie.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760803180/%ED%95%98%EC%A1%B0%EB%8C%80%EC%A0%84%EB%A7%9D%EB%8C%80_1_%EA%B3%B5%EA%B3%B53%EC%9C%A0%ED%98%95_egrzbo.jpg",1,exact,
6,아야진해변,사계절,바다,낚시,가족,정보없음,가능,강원특별자치도 고성군 토성면 아야진해변길 157(토성면),상시 개방,38.27657883,128.5527871,강원특별자치도 고성군 토성면 아야진해변길 157(토성면),"아야진해변은 주변경관이 수려한 곳으로, 크고 작은 바위와 맑은 바다, 깨끗한 백사장이 어울려 가족단위 피서지로 적합한 해변이다. 고운 모래가 깔려있고, 수심이 해변에서 30m까지는 1.5m~2m 정도로 안전하게 수영할 수 있어 매년 군부대와의 협의로 한시적으로 운영되고 있다. 또, 낚시와 함께 수영을 즐길 수 있어 해마다 찾는 피서객이 증가하고 있다.",6,아야진해변,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760798685/%EC%95%84%EC%95%BC%EC%A7%84%ED%95%B4%EB%B3%80_3_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_avtgv1.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760798682/%EC%95%84%EC%95%BC%EC%A7%84%ED%95%B4%EB%B3%80_2_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_fcrlgf.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760798678/%EC%95%84%EC%95%BC%EC%A7%84%ED%95%B4%EB%B3%80_1_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_i2dx88.jpg",1,exact,
7,천진해변,사계절,"산, 바다, 절",낚시,가족,정보없음,"가능(소형 159대)<br>요금(당일 5,000원)",강원특별자치도 고성군 토성면아야진리,"[하절기 (7~8월)]<br />
- 일반해변 06:00~24:00<br>
- 마을관리해변 06:00~22:00",38.25703404,128.5606703,강원특별자치도 고성군 토성면아야진리,"속초시에서 북으로 4㎞, 7번 국도 옆에 위치해 있으며 천진항과 인접하여 초승달 모양의 해안선을 따라 백사장이 펼쳐져 있는 곳이다. 
1972년 개장된 이래 매년 해변과 백사장이 사계절 운영되고 물이 맑고 청정할 뿐 아니라 백사장이 깨끗하다. 해변은 전체적으로 얕은 편이고 파도가 잔잔하여 아이들이 놀기에 좋은 해변이다. 
수심이 낮아 가족단위와 젊은이들의 ",7,천진해변,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760801337/%EC%B2%9C%EC%A7%84%ED%95%B4%EB%B3%80_3_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_px18va.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760801333/%EC%B2%9C%EC%A7%84%ED%95%B4%EB%B3%80_2_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_f6javj.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760801328/%EC%B2%9C%EC%A7%84%ED%95%B4%EB%B3%80_1_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_n2judp.jpg",1,exact,
8,봉포해변,"여름, 사계절","산, 바다, 숲",낚시,연인,정보없음,가능,강원특별자치도 고성군 토성면봉포리,상시 개방,38.25249856,128.5661727,강원특별자치도 고성군 토성면봉포리,"봉포해변은 속초 시청 북쪽으로 3㎞에 위치해 있으며 작은 포구를 중심으로 한 간이 해수욕장으로 지정되어 있다. 물이 맑고 사질이 고우며, 특히 어족이 풍부해 방파제에서는 연중 바다낚시를 할 수 있고 해수욕을 즐길 수 있어 여름 피서지로 각광받는 곳이다. 해수욕장 주변에 넓게 펼쳐진 소나무 숲에서 산림욕 또한 즐길 수 있다. 인근에 다양한 숙박시설과 음식점들",8,봉포해변,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760796946/%EB%B4%89%ED%8F%AC%ED%95%B4%EB%B3%80_3_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_mhfoiy.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760796943/%EB%B4%89%ED%8F%AC%ED%95%B4%EB%B3%80_2_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_edoksn.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760796940/%EB%B4%89%ED%8F%AC%ED%95%B4%EB%B3%80_1_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_w7qvhg.jpg",1,exact,
9,송전해수욕장,"여름, 사계절","산, 바다, 숲, 공원, 문화재, 도시","산책, 경치, 물놀이, 힐링, 역사, 교육, 감성",연인,정보없음,가능,강원특별자치도 양양군 손양면 송전리,상시 개방,38.09325501,128.6590248,강원특별자치도 양양군 손양면 송전리,"강원도 양양군 손양면 송전리에 위치한 송전해수욕장은 고운 모래사장이 길이 900m, 너비 80m로 펼쳐져 있는데, 양양군에 있는 해수욕장 중 낙산해수욕장 다음으로 모래사장이 길고 물이 깨끗해 바다에서 조개잡이도 가능하다. 해수욕장 개장은 매년 7월 중순부터 8월 하순 사이에 걸쳐 개장하며, 아직 잘 알려지지 않아 사람이 붐비는 휴가철에도 여유롭게 즐길 수 ",9,송전해수욕장,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760798239/%EC%86%A1%EC%A0%84%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5_3_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_fd3eu4.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760798234/%EC%86%A1%EC%A0%84%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5_2_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_e7g3h5.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760798233/%EC%86%A1%EC%A0%84%ED%95%B4%EC%88%98%EC%9A%95%EC%9E%A5_1_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_v6wfjy.jpg",1,exact,
10,삼척해변,사계절,"바다, 도시","경치, 물놀이, 감성",연인,정보없음,가능,강원특별자치도 삼척시 테마타운길 76(갈천동),상시 개방,37.46848168,129.1683622,강원특별자치도 삼척시 테마타운길 76(갈천동),"삼척해변은 삼척시내에서 1.4㎞가량의 근거리에 위치하고 있으며, 연장 1.2㎞, 폭 100m의 넓은 백사장을 보유한 관내 최대의 해변이다. 울창한 송림, 깨끗한 백사장과 수심이 얕아서 남녀노소 모두가 수영을 즐길 수 있고, 각종 부대시설 및 편의시설이 비교적 잘 갖춰져 있다. 또한, 테마타운 내 근린시설이 완비되어 있으며, 싱싱한 활어회를 먹을 수도 있다.",10,삼척해변,3,"https://res.cloudinary.com/dmnc24zjf/image/upload/v1760797373/%EC%82%BC%EC%B2%99%ED%95%B4%EB%B3%80_3_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_m5o53d.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760797369/%EC%82%BC%EC%B2%99%ED%95%B4%EB%B3%80_2_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_ujs0mj.jpg
https://res.cloudinary.com/dmnc24zjf/image/upload/v1760797366/%EC%82%BC%EC%B2%99%ED%95%B4%EB%B3%80_1_%EA%B3%B5%EA%B3%B51%EC%9C%A0%ED%98%95_yd5fvb.jpg",1,exact,
