name,season,nature,vibe,target,fee,parking,address,open_time,latitude,longitude,full_address,short_description,nature_list,vibe_list,target_list,enhanced_description
강릉 모래내 한과마을(갈골한과),사계절,"산, 호수","액티비티, 역사",가족,정보없음,가능,강원특별자치도 강릉시 사천면 한과마을길 20,09:00~18:00,37.81382969,128.8328345,강원특별자치도 강릉시 사천면 한과마을길 20,강릉 모래내 한과마을갈골한과은는 사계절에 특히 아름다워 산 경관이 뛰어나며 액티비티 분위기로 가족에게 추천됩니다,"['산', '호수']","['액티비티', '역사']",['가족'],"강릉 모래내 한과마을갈골한과은는 사계절에 특히 아름다워 산 경관이 뛰어나며 액티비티 분위기로 가족에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 호수 경관을 즐길 수 있습니다. 액티비티, 역사 분위기로 좋습니다. 가족에게 추천합니다."
국립 삼봉자연휴양림,봄,"산, 자연, 호수","산책, 액티비티, 힐링",가족,무료,가능,강원특별자치도 홍천군 내면 삼봉휴양길 276,"- 숙박 15:00~익일 11:00<br />
- 일일개장 09:00~18:00",37.85213473,128.4608697,강원특별자치도 홍천군 내면 삼봉휴양길 276,국립 삼봉자연휴양림은는 봄에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다,"['산', '자연', '호수']","['산책', '액티비티', '힐링']",['가족'],"국립 삼봉자연휴양림은는 봄에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다 이곳은 봄에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 산책, 액티비티, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
설악산국립공원(내설악),여름,"산, 자연",산책,,무료,가능,강원특별자치도 인제군 북면,※ 코스별 상이하므로 홈페이지 참조 또는 전화 문의,38.12473146,128.2041596,강원특별자치도 인제군 북면,설악산국립공원내설악은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다,"['산', '자연']",['산책'],[],"설악산국립공원내설악은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연 경관을 즐길 수 있습니다. 산책 분위기로 좋습니다."
설악산국립공원(남설악),여름,"산, 자연",산책,,정보없음,가능,강원특별자치도 양양군 서면 오색리산1-10,탐방로별 상이하므로 홈페이지 참조,38.08455474,128.4494247,강원특별자치도 양양군 서면 오색리산1-10,설악산국립공원남설악은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다,"['산', '자연']",['산책'],[],"설악산국립공원남설악은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연 경관을 즐길 수 있습니다. 산책 분위기로 좋습니다."
치악산국립공원,여름,"산, 자연","사진명소, 산책, 역사",,무료,가능,강원특별자치도 원주시 소초면 무쇠점2길 26,"연중개방<br>
※ 기상여건에 따라 통제 가능(자세한 사항은 홈페이지 참조)",37.41436097,128.050681,강원특별자치도 원주시 소초면 무쇠점2길 26,치악산국립공원은는 여름에 특히 아름다워 산 경관이 뛰어나며 사진명소 분위기로 모두에게 추천됩니다,"['산', '자연']","['사진명소', '산책', '역사']",[],"치악산국립공원은는 여름에 특히 아름다워 산 경관이 뛰어나며 사진명소 분위기로 모두에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연 경관을 즐길 수 있습니다. 사진명소, 산책, 역사 분위기로 좋습니다."
태백산 국립공원,여름,"산, 자연, 호수","산책, 역사",,정보없음,가능,강원특별자치도 태백시 번영로 59 (황지동),탐방코스별 상이,37.14937042,128.9882797,강원특별자치도 태백시 번영로 59 (황지동),태백산 국립공원은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다,"['산', '자연', '호수']","['산책', '역사']",[],"태백산 국립공원은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 모두에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 산책, 역사 분위기로 좋습니다."
민둥산,가을,"바다, 산, 자연",,친구,무료,가능,강원특별자치도 정선군 남면 무릉리,상시 개방,37.27095234,128.7749257,강원특별자치도 정선군 남면 무릉리,민둥산은는 가을에 특히 아름다워 바다 경관이 뛰어나며 모두 분위기로 친구에게 추천됩니다,"['바다', '산', '자연']",[],['친구'],"민둥산은는 가을에 특히 아름다워 바다 경관이 뛰어나며 모두 분위기로 친구에게 추천됩니다 이곳은 가을에 특히 아름답습니다. 바다, 산, 자연 경관을 즐길 수 있습니다.  친구에게 추천합니다."
천은사계곡(원주),여름,"산, 자연, 호수",힐링,가족,정보없음,가능,강원특별자치도 원주시 귀래면 귀래리,,37.23029891,127.9022747,강원특별자치도 원주시 귀래면 귀래리,천은사계곡원주은는 여름에 특히 아름다워 산 경관이 뛰어나며 힐링 분위기로 가족에게 추천됩니다,"['산', '자연', '호수']",['힐링'],['가족'],"천은사계곡원주은는 여름에 특히 아름다워 산 경관이 뛰어나며 힐링 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 힐링 분위기로 좋습니다. 가족에게 추천합니다."
관음사·국형사계곡,여름,"산, 자연, 호수","산책, 역사, 힐링",가족,무료,가능,강원특별자치도 원주시 고문골길 169 (행구동),일출 시~일몰 시,37.33365572,128.0141255,강원특별자치도 원주시 고문골길 169 (행구동),관음사국형사계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다,"['산', '자연', '호수']","['산책', '역사', '힐링']",['가족'],"관음사국형사계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 산책, 역사, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
순담계곡,여름,"산, 자연, 호수","감성, 산책, 힐링",연인,정보없음,가능,강원특별자치도 철원군 갈말읍 순담길 143-3(갈말읍),상시 개방,38.17556406,127.297602,강원특별자치도 철원군 갈말읍 순담길 143-3(갈말읍),순담계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 감성 분위기로 연인에게 추천됩니다,"['산', '자연', '호수']","['감성', '산책', '힐링']",['연인'],"순담계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 감성 분위기로 연인에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 감성, 산책, 힐링 분위기로 좋습니다. 연인에게 추천합니다."
청평사계곡,여름,"산, 자연, 호수",힐링,"연인, 친구",2000원,가능,강원특별자치도 춘천시 북산면 오봉산길 810(청평사),상시 개방,37.98102413,127.8137801,강원특별자치도 춘천시 북산면 오봉산길 810(청평사),청평사계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 힐링 분위기로 연인 친구에게 추천됩니다,"['산', '자연', '호수']",['힐링'],"['연인', '친구']","청평사계곡은는 여름에 특히 아름다워 산 경관이 뛰어나며 힐링 분위기로 연인 친구에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 힐링 분위기로 좋습니다. 연인, 친구에게 추천합니다."
가령폭포,여름,"산, 자연",힐링,가족,무료,가능,강원특별자치도 홍천군 내촌면 와야리산12-1,상시 개방,37.83265346,128.1595225,강원특별자치도 홍천군 내촌면 와야리산12-1,가령폭포은는 여름에 특히 아름다워 산 경관이 뛰어나며 힐링 분위기로 가족에게 추천됩니다,"['산', '자연']",['힐링'],['가족'],"가령폭포은는 여름에 특히 아름다워 산 경관이 뛰어나며 힐링 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연 경관을 즐길 수 있습니다. 힐링 분위기로 좋습니다. 가족에게 추천합니다."
어라연 (강원고생대 국가지질공원),여름,"산, 자연, 호수","감성, 산책",가족,무료,가능,강원특별자치도 영월군 영월읍 어라연길 259,상시 개방,37.23414647,128.5364926,강원특별자치도 영월군 영월읍 어라연길 259,어라연 강원고생대 국가지질공원은는 여름에 특히 아름다워 산 경관이 뛰어나며 감성 분위기로 가족에게 추천됩니다,"['산', '자연', '호수']","['감성', '산책']",['가족'],"어라연 강원고생대 국가지질공원은는 여름에 특히 아름다워 산 경관이 뛰어나며 감성 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 감성, 산책 분위기로 좋습니다. 가족에게 추천합니다."
미천골계곡,여름,"바다, 산, 자연","산책, 힐링",가족,무료,가능,강원특별자치도 양양군 서면 구룡령로,상시 개방,37.96634755,128.5168416,강원특별자치도 양양군 서면 구룡령로,미천골계곡은는 여름에 특히 아름다워 바다 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다,"['바다', '산', '자연']","['산책', '힐링']",['가족'],"미천골계곡은는 여름에 특히 아름다워 바다 경관이 뛰어나며 산책 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 바다, 산, 자연 경관을 즐길 수 있습니다. 산책, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
작은후진해수욕장,여름,"바다, 산",액티비티,가족,정보없음,가능,강원특별자치도 삼척시 새천년도로 467(교동),,37.46388791,129.1758978,강원특별자치도 삼척시 새천년도로 467(교동),작은후진해수욕장은는 여름에 특히 아름다워 바다 경관이 뛰어나며 액티비티 분위기로 가족에게 추천됩니다,"['바다', '산']",['액티비티'],['가족'],"작은후진해수욕장은는 여름에 특히 아름다워 바다 경관이 뛰어나며 액티비티 분위기로 가족에게 추천됩니다 이곳은 여름에 특히 아름답습니다. 바다, 산 경관을 즐길 수 있습니다. 액티비티 분위기로 좋습니다. 가족에게 추천합니다."
화암사(고성),사계절,"산, 호수","역사, 조용한",,무료,가능,강원특별자치도 고성군 토성면 화암사길 100,연중무휴,38.22698854,128.4693434,강원특별자치도 고성군 토성면 화암사길 100,화암사고성은는 사계절에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 모두에게 추천됩니다,"['산', '호수']","['역사', '조용한']",[],"화암사고성은는 사계절에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 모두에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 호수 경관을 즐길 수 있습니다. 역사, 조용한 분위기로 좋습니다."
도피안사(철원),봄,"산, 호수",,,무료,가능,강원특별자치도 철원군 동송읍 도피동길 23,상시 개방,38.24030503,127.2182963,강원특별자치도 철원군 동송읍 도피동길 23,도피안사철원은는 봄에 특히 아름다워 산 경관이 뛰어나며 모두 분위기로 모두에게 추천됩니다,"['산', '호수']",[],[],"도피안사철원은는 봄에 특히 아름다워 산 경관이 뛰어나며 모두 분위기로 모두에게 추천됩니다 이곳은 봄에 특히 아름답습니다. 산, 호수 경관을 즐길 수 있습니다."
청평사(춘천),사계절,"산, 자연","역사, 힐링",가족,2000원,가능,강원특별자치도 춘천시 북산면 오봉산길 810,상시 개방,37.98653729,127.8089859,강원특별자치도 춘천시 북산면 오봉산길 810,청평사춘천은는 사계절에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 가족에게 추천됩니다,"['산', '자연']","['역사', '힐링']",['가족'],"청평사춘천은는 사계절에 특히 아름다워 산 경관이 뛰어나며 역사 분위기로 가족에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 자연 경관을 즐길 수 있습니다. 역사, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
삼척 준경묘,사계절,"산, 자연, 호수","사진명소, 산책, 역사, 힐링",가족,무료,가능,강원특별자치도 삼척시 미로면 준경길 333-360(미로면),상시 개방,37.36707178,129.0593195,강원특별자치도 삼척시 미로면 준경길 333-360(미로면),삼척 준경묘은는 사계절에 특히 아름다워 산 경관이 뛰어나며 사진명소 분위기로 가족에게 추천됩니다,"['산', '자연', '호수']","['사진명소', '산책', '역사', '힐링']",['가족'],"삼척 준경묘은는 사계절에 특히 아름다워 산 경관이 뛰어나며 사진명소 분위기로 가족에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 산, 자연, 호수 경관을 즐길 수 있습니다. 사진명소, 산책, 역사, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
삼척 죽서루,사계절,자연,"역사, 힐링",가족,무료,가능,강원특별자치도 삼척시 죽서루길 37 (성내동),09:00~18:00,37.44110413,129.1612414,강원특별자치도 삼척시 죽서루길 37 (성내동),삼척 죽서루은는 사계절에 특히 아름다워 자연 경관이 뛰어나며 역사 분위기로 가족에게 추천됩니다,['자연'],"['역사', '힐링']",['가족'],"삼척 죽서루은는 사계절에 특히 아름다워 자연 경관이 뛰어나며 역사 분위기로 가족에게 추천됩니다 이곳은 사계절에 특히 아름답습니다. 자연 경관을 즐길 수 있습니다. 역사, 힐링 분위기로 좋습니다. 가족에게 추천합니다."
